danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.367,0.71,10,-7.899,0,0.0796,0.538,0.00849,0.108,0.444,114.697,audio_features,6vca0aMELa1kc6mIs6w39c,spotify:track:6vca0aMELa1kc6mIs6w39c,https://api.spotify.com/v1/tracks/6vca0aMELa1kc6mIs6w39c,https://api.spotify.com/v1/audio-analysis/6vca0aMELa1kc6mIs6w39c,208271,5
0.485,0.705,9,-7.528,1,0.0515,0.184,0.0,0.289,0.687,161.302,audio_features,5jOCZRdWItMJKacbZolEJF,spotify:track:5jOCZRdWItMJKacbZolEJF,https://api.spotify.com/v1/tracks/5jOCZRdWItMJKacbZolEJF,https://api.spotify.com/v1/audio-analysis/5jOCZRdWItMJKacbZolEJF,188840,4
0.481,0.265,4,-12.91,1,0.0329,0.887,0.00865,0.102,0.221,86.775,audio_features,6LJUlREHwzx1Z2BcqOdJSW,spotify:track:6LJUlREHwzx1Z2BcqOdJSW,https://api.spotify.com/v1/tracks/6LJUlREHwzx1Z2BcqOdJSW,https://api.spotify.com/v1/audio-analysis/6LJUlREHwzx1Z2BcqOdJSW,162759,4
0.916,0.854,9,-4.331,1,0.0344,0.435,0.21,0.0878,0.925,122.011,audio_features,6WUPSfoTnqDimPiVI89lQ7,spotify:track:6WUPSfoTnqDimPiVI89lQ7,https://api.spotify.com/v1/tracks/6WUPSfoTnqDimPiVI89lQ7,https://api.spotify.com/v1/audio-analysis/6WUPSfoTnqDimPiVI89lQ7,192361,4
0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,audio_features,6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,169698,4
0.606,0.448,8,-13.182,0,0.0356,0.604,0.0825,0.111,0.199,111.889,audio_features,5HwHdYpk3QiOUhsfWKYkFq,spotify:track:5HwHdYpk3QiOUhsfWKYkFq,https://api.spotify.com/v1/tracks/5HwHdYpk3QiOUhsfWKYkFq,https://api.spotify.com/v1/audio-analysis/5HwHdYpk3QiOUhsfWKYkFq,274729,4
0.616,0.717,8,-6.178,1,0.11,0.194,9.81e-05,0.0731,0.72,167.99,audio_features,1GsSM1Fju5J1Fsu51jEsTg,spotify:track:1GsSM1Fju5J1Fsu51jEsTg,https://api.spotify.com/v1/tracks/1GsSM1Fju5J1Fsu51jEsTg,https://api.spotify.com/v1/audio-analysis/1GsSM1Fju5J1Fsu51jEsTg,196760,4
0.718,0.706,7,-5.596,0,0.0587,0.0539,0.0,0.41,0.58,131.943,audio_features,5c9tBmJKbTdn1vhzXHeAwW,spotify:track:5c9tBmJKbTdn1vhzXHeAwW,https://api.spotify.com/v1/tracks/5c9tBmJKbTdn1vhzXHeAwW,https://api.spotify.com/v1/audio-analysis/5c9tBmJKbTdn1vhzXHeAwW,151125,4
0.575,0.71,6,-5.937,0,0.0481,0.0431,2.83e-05,0.118,0.246,145.292,audio_features,0f1YjNHoDs4GVTGjFgt3Hc,spotify:track:0f1YjNHoDs4GVTGjFgt3Hc,https://api.spotify.com/v1/tracks/0f1YjNHoDs4GVTGjFgt3Hc,https://api.spotify.com/v1/audio-analysis/0f1YjNHoDs4GVTGjFgt3Hc,202827,4
0.772,0.626,6,-5.004,1,0.0484,0.0127,2.51e-05,0.74,0.75,124.0,audio_features,6oXd6W1WrxE2P499dUFNFT,spotify:track:6oXd6W1WrxE2P499dUFNFT,https://api.spotify.com/v1/tracks/6oXd6W1WrxE2P499dUFNFT,https://api.spotify.com/v1/audio-analysis/6oXd6W1WrxE2P499dUFNFT,218178,4
