name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_artists,genres
849 find out,0.483,0.7075,9.0,-7.7135,1.0,0.04295,0.48650000000000004,0.00857,0.105,0.5655,118.354,"['0nugNBwdWaptgIAsEtx1It', '4Ky0ZDJDfY7UBbTVYPyVKc', '7HfUJxeVTgrvhk0eWHFzV7', '45y43grjcZp3XvyXqfPQu4']","['indie pop', 'modern indie folk', 'hyperpop', 'hypnagogic pop']"
848 innocence,0.6425000000000001,0.6659999999999999,7.5,-6.0575,0.5,0.04825,0.12395,6.32e-05,0.11449999999999999,0.6499999999999999,138.6175,"['4gvjmrtzydbMpyJaXUtwvP', '2RqrWplViWHSGLzlhmDcbt', '6nB0iY1cjSY1KyhYyuIIKH', '25uiPmTg16RbhZWAqwLBy5', '6O4EGCCb6DoIiR6B1QCQgp', '3Xt3RrJMFv5SZkCfUE8C1J']","['social media pop', 'alternative r&b', 'art pop', 'escape room', 'experimental house', 'afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop', 'art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop', 'chillwave', 'hypnagogic pop', 'indie soul', 'indietronica', 'alt z', 'dance pop', 'pop', 'transpop']"
847 sick joke,0.52,0.322,6.0,-10.78,1.0,0.0378,0.775,2.69e-05,0.126,0.377,142.912,"['3WWvqxymB3Nypxej8XcQKC', '35l9BRT7MXmM8bv2WDQiyB', '6JgC582KHI4BpHIhbFHVAQ', '3WuoKYR1zeLGxR29c53Vdr', '3TCkIp7RQLM4MzP5q9iyzj']","['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie', 'gen z singer-songwriter']"
846 save me,0.652,0.647,8.5,-7.491,1.0,0.059300000000000005,0.2026,0.02615,0.1145,0.501,129.00549999999998,"['7HKjjFcvOZyupxbOMdmSwE', '4TZieE5978SbTInJswaay2', '053q0ukIDRgzwTr4vNSwab', '1oPRcJUkloHaRLYx0olBLJ', '5FkMS3KgG0cjiRm250NFTJ', '3GzbAOojSz4h2yUjljyg3H', '6vABHl7aPLdJwk0BU9cilg', '45y43grjcZp3XvyXqfPQu4', '2JzhQYGos3RqV7MT5fWeek', '25uiPmTg16RbhZWAqwLBy5']","['experimental indie', 'art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop', 'la pop', 'cloud rap', 'proto-hyperpop', 'hypnagogic pop', 'art pop', 'chillwave', 'experimental pop', 'shimmer psych', 'art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
845 what did you expect,0.643,0.5325,7.0,-9.149000000000001,0.0,0.0458,0.29700000000000004,0.016465,0.1245,0.482,117.856,"['1xcMOgFUM1IYZE22YjCvsL', '5FxD8fkQZ6KcsSYupDVoSO', '2fTTmPI3XaJwqM19w5QiRz', '0fEfMW5bypHZ0A8eLnhwj5', '59oA5WbbQvomJz2BuRG071', '5Mq7iqCWBzofK39FBqblNc', '3x11XrMEnyP18hv73pmKRL', '1nIJEqPyIj5qutlgWNmQB0', '6Tyzp9KzpiZ04DABQoedps', '7d64ZVOXg02y73HB5UMqkb']","['alternative r&b', 'art pop', 'escape room', 'gauze pop', 'shimmer psych', 'spectra', 'vapor pop', 'bedroom pop', 'bedroom soul', 'alternative r&b', 'experimental r&b', 'indie soul', 'uk contemporary r&b', 'british soul', 'electropop', 'neo soul', 'pop soul', 'uk pop', 'hypnagogic pop', 'alternative r&b', 'scandinavian r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'gothenburg indie', 'indie soul', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish synthpop', 'trip hop', 'art pop']"
844 praying,0.443,0.274,7.0,-12.381,1.0,0.0355,0.797,0.00041,0.11,0.271,110.941,"['1GmsPCcpKgF9OhlNXjOsbS', '0g3BS5QoR5r6pOAg1tvwXv', '0nugNBwdWaptgIAsEtx1It', '6ehbjKYJwaDdHpiw52vdGr', '4WZlZAyyBNVwoG4Zrh1tfC', '5GGJosGMs08YEmKTZJe1fL', '2OywDp0ldLitUL5iM8phSf', '0jzaoSt5gOC04OWBqN78VS', '3Yjr5lVbAr2Fe7Lmpwja70', '1hLiboQ98IQWhpKeP9vRFw']","['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop', 'modern alternative pop', 'ontario indie', 'indie pop', 'modern indie folk', 'indie pop', 'louisville indie', 'small room', 'portland indie', 'indie pop', 'pov: indie']"
842 begin again,0.4905,0.517,5.5,-9.11,1.0,0.030449999999999998,0.31,0.11549999999999999,0.1195,0.3245,108.1455,"['2TpNrO0G2ahji2IOR94TLA', '2mirb9SKAm6IUHtPwreoqN', '4Ge8xMJNwt6EEXOzVXju9a', '56ZTgzPBDge0OvCGgMO3OY', '3TNt4aUIxgfy9aoaft5Jj2', '7w29UYBi0qsHi5RTcv3lmA', '5Wabl1lPdNOeIn0SQ5A1mp', '6UUrUCIZtQeOf8tC0WuzRy', '4MXUO7sVCaFgFjoTI5ox5c', '6MUyqmIQ35inLjch0YzIEG']","['modern dream pop', 'art pop', 'escape room', 'indie pop', 'indietronica', 'art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie', 'alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave', 'alternative rock', 'art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop', 'alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic rock', 'indie rock', 'melancholia', 'nordic post-rock', 'post-rock', 'art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter', 'downtempo', 'etherpop', 'metropopolis']"
841 stay true,0.6515,0.636,6.0,-7.3915,0.0,0.033,0.1227,0.06559999999999999,0.1085,0.559,94.49549999999999,"['6eb2gxfoBSQhmDYkQKz93b', '35l9BRT7MXmM8bv2WDQiyB', '5lSc6BIpfTBIcco5gQOEWH', '69qhRLDvsWJOhWGXXQ0lQQ', '09kXLeOXRyfNQMXRaDO4qA', '2efrqekWSHlvhATD50AG3m', '4kSGbjWGxTchKpIxXPJv0B', '7fAvIUJJUk4DIckyRczLmW', '2mVVjNmdjXZZDvhgQWiakk', '3zmfs9cQwzJl575W1ZYXeT']","['latinx alternative', 'portland indie', 'bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie', 'art pop', 'deep latin alternative', 'experimental pop', 'art pop', 'experimental pop', 'uk alternative pop', 'alternative r&b', 'bedroom pop', 'neo-psychedelic', 'indie soul', 'neo-psychedelic', 'world', 'indie pop', 'pov: indie']"
840 pretty woman,0.665,0.6355,4.5,-7.1035,0.0,0.0879,0.06889999999999999,2.965e-06,0.1255,0.501,137.9135,"['68kEuyFKyqrdQQLLsmiatm', '25uiPmTg16RbhZWAqwLBy5', '5K4W6rqBFWDnAN6FQUkS6x', '6U3ybJ9UHNKEdsH7ktGBZ7', '4lPl9gqgox3JDiaJ1yklKh', '53KwLdlmrlCelAZMaLVZqU', '2WoVwexZuODvclzULjPQtm', '7A0awCXkE1FtSU8B0qwOJQ', '6yJ6QQ3Y5l0s0tn7b0arrO', '3M3wTTCDwicRubwMyHyEDy']","['conscious hip hop', 'hip hop', 'rap', 'underground hip hop', 'art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop', 'chicago rap', 'hip hop', 'rap', 'hip hop', 'pop rap', 'rap', 'underground hip hop', 'alternative r&b', 'art pop', 'indie soul', 'indietronica', 'uk alternative pop', 'alternative r&b', 'indie soul', 'electronica', 'future garage', 'indie soul', 'indietronica', 'alternative hip hop', 'experimental hip hop', 'industrial hip hop', 'alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']"
839 just friends,0.7335,0.7215,3.5,-5.522,1.0,0.0432,0.1855,0.00268,0.126,0.6575,126.51849999999999,"['7GlBOeep6PqTfFi59PTUUN', '25uiPmTg16RbhZWAqwLBy5', '7pyhre5oEEFMqcgMEvJY7q', '3xz28DkZR6bmPpVh6Rq13t', '5FkMS3KgG0cjiRm250NFTJ', '7HKjjFcvOZyupxbOMdmSwE', '4xjJOu0MWVWuaDVZOy0Dx2', '4nDoRrQiYLoBzwC5BhVJzF', '3WGpXCj9YhhfX11TToZcXP', '4SqTiwOEdYrNayaGMkc7ia']","['indie pop', 'art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop', 'candy pop', 'la indie', 'metropopolis', 'neo-synthpop', 'cloud rap', 'alt z', 'bedroom pop', 'indie pop', 'dance pop', 'pop', 'australian pop', 'pop', 'viral pop', 'alt z', 'indie poptimism', 'metropopolis']"
