name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
00 all yours,0.583,0.569,7.0,-7.9775,1.0,0.036,0.37,0.0006942000000000001,0.111,0.552,114.7475
00 alright,0.612,0.702,2.0,-5.707,1.0,0.0528,0.0908,2.18e-05,0.0806,0.502,122.804
00 another dream,0.714,0.63,5.0,-6.345000000000001,1.0,0.0363,0.135,6.7e-06,0.132,0.7775000000000001,115.9975
00 before you go,0.518,0.34099999999999997,5.0,-9.089,1.0,0.04115,0.627,0.0,0.1105,0.233,124.113
00 call it love,0.551,0.758,2.0,-7.385,1.0,0.0352,0.0878,9.91e-05,0.096,0.547,118.02
00 change,0.476,0.291,6.0,-10.612,1.0,0.0292,0.697,0.000703,0.104,0.171,112.305
00 congratulations,0.549,0.705,8.0,-5.6675,1.0,0.0464,0.0279,2.2400000000000002e-05,0.192,0.241,117.148
00 deserve,0.386,0.346,4.0,-9.628,1.0,0.0327,0.632,0.000118,0.126,0.178,128.376
00 do you,0.562,0.449,9.0,-9.868,1.0,0.0601,0.27649999999999997,1.26e-05,0.143,0.223,124.852
00 don't forget me,0.40349999999999997,0.2905,7.0,-10.9465,1.0,0.03,0.687,0.006595,0.127,0.239,93.17
00 don't say that you love me then make other plans,0.4945,0.3755,3.5,-10.588999999999999,1.0,0.0322,0.814,0.0186,0.11,0.319,128.836
00 dream about me,0.6,0.342,3.0,-9.785,1.0,0.0338,0.446,0.00333,0.107,0.511,118.358
00 everything,0.6045,0.505,8.0,-9.067,1.0,0.031599999999999996,0.47600000000000003,0.033625,0.1215,0.436,114.965
00 everything changes,0.397,0.225,7.0,-13.365,1.0,0.0392,0.83,0.000449,0.0945,0.331,132.57
00 expectations,0.617,0.498,7.0,-8.589500000000001,1.0,0.03585,0.339,0.000358,0.121,0.363,144.99
00 feel like hell,0.55,0.33,1.0,-8.413,1.0,0.0317,0.608,0.000172,0.105,0.407,134.936
00 fever,0.517,0.265,3.0,-11.5915,1.0,0.03465,0.757,0.000182,0.11649999999999999,0.172,129.0885
00 forgetting,0.435,0.381,5.0,-9.436,1.0,0.033,0.717,6.49e-06,0.112,0.461,118.327
00 fuck me i’m falling apart,0.483,0.2455,6.5,-15.12,1.0,0.0348,0.734,0.015065,0.112,0.314,123.13050000000001
00 ghost,0.481,0.201,2.5,-12.217,1.0,0.0343,0.882,0.00248,0.112,0.159,118.383
00 good heart,0.494,0.511,4.0,-9.37,1.0,0.033,0.647,0.000577,0.1095,0.438,112.606
00 good to be in love,0.517,0.526,6.0,-7.578,1.0,0.04055,0.385,0.0377,0.11249999999999999,0.3285,137.866
00 half the time,0.449,0.35550000000000004,5.0,-12.117,1.0,0.0328,0.8009999999999999,0.007500000000000001,0.121,0.242,92.438
00 haunted dreams,0.447,0.312,5.0,-10.5885,1.0,0.0317,0.774,0.0001103,0.10164999999999999,0.242,127.726
00 hold me forever,0.48,0.442,5.0,-8.184,1.0,0.0287,0.604,0.000674,0.112,0.258,111.709
00 how can i be,0.586,0.651,6.0,-6.844,1.0,0.06,0.08245,1.98e-05,0.13,0.687,164.024
00 i forgive but i forget,0.537,0.501,5.0,-9.478,1.0,0.0347,0.589,0.0259,0.1,0.421,125.609
00 i hope i never lose you,0.514,0.327,9.0,-11.807,1.0,0.03315,0.901,0.0007754,0.115,0.306,121.917
00 i keep thinking,0.666,0.515,2.0,-8.086,1.0,0.0448,0.191,0.00036,0.117,0.367,94.007
00 i love you but enough is enough,0.536,0.182,2.0,-11.945,1.0,0.0408,0.917,0.000977,0.111,0.236,119.841
00 i love you more,0.499,0.296,2.0,-12.101,1.0,0.030449999999999998,0.6255,0.0015300000000000001,0.116,0.276,102.369
00 i used to,0.481,0.268,7.0,-13.919,1.0,0.0364,0.684,0.0112,0.111,0.28,118.996
00 i was dreaming,0.421,0.897,7.0,-6.25,1.0,0.0539,0.0316,0.0501,0.277,0.519,140.023
00 i wasn't looking for you,0.596,0.30300000000000005,2.0,-10.683,1.0,0.0313,0.7755000000000001,0.002515,0.09995000000000001,0.34750000000000003,93.95
00 i wish i knew you wanted me,0.74,0.5509999999999999,6.5,-6.3165,1.0,0.104,0.1865,2.56e-05,0.28400000000000003,0.7,120.024
00 i would never,0.518,0.333,6.0,-11.702,1.0,0.0303,0.494,0.000119,0.149,0.265,119.131
00 if i ever,0.54,0.26,3.0,-13.61,1.0,0.0336,0.841,0.00553,0.12,0.3365,92.413
00 in the glass,0.476,0.318,6.0,-10.612,1.0,0.031,0.612,0.000906,0.102,0.29100000000000004,137.358
00 is it casual now,0.564,0.605,2.0,-7.022,1.0,0.052,0.40549999999999997,1.25e-05,0.0953,0.3,118.872
00 just true,0.519,0.3015,7.0,-10.07,1.0,0.03325,0.657,0.000145,0.1205,0.377,134.936
00 keep me,0.48,0.27,5.5,-11.649,1.0,0.0373,0.8845000000000001,0.0008355,0.144,0.427,112.592
00 keep time,0.476,0.241,6.0,-11.512,1.0,0.0314,0.896,0.000703,0.132,0.19,123.879
00 let it go,0.508,0.327,9.0,-11.702,1.0,0.0307,0.789,2.24e-05,0.11,0.265,119.756
00 let the world turn,0.489,0.43,4.0,-9.105,1.0,0.0357,0.462,0.00107,0.0923,0.484,135.543
00 long run,0.514,0.417,9.0,-9.176,1.0,0.0314,0.354,0.00145,0.115,0.531,115.422
00 lover's spit,0.525,0.494,4.0,-9.451,1.0,0.0336,0.524,0.0799,0.135,0.213,121.828
00 me and you,0.793,0.659,9.0,-6.122,0.0,0.08755,0.0535,0.00114,0.11854999999999999,0.6765000000000001,116.981
00 never,0.532,0.399,4.5,-9.664,1.0,0.0312,0.677,0.00117,0.121,0.274,130.038
00 no fool,0.5529999999999999,0.34850000000000003,6.0,-12.5795,1.0,0.0358,0.8705,0.0135,0.1125,0.3545,113.984
00 nothing’s gonna happen,0.505,0.84,7.0,-5.172,1.0,0.0531,0.0334,2.4225e-05,0.139,0.363,112.4905
00 on my mind,0.392,0.645,2.0,-7.564,1.0,0.035,0.05295,0.0119,0.117,0.325,133.6855
00 our love,0.614,0.254,6.0,-13.089,1.0,0.0339,0.73,0.000945,0.1055,0.34950000000000003,110.045
00 painless,0.48,0.61,2.0,-7.598,1.0,0.03535,0.2835,0.021805,0.0915,0.522,132.407
