name,track_ids,track_names,id,url,image,zipp
849 find out,"['6vca0aMELa1kc6mIs6w39c', '5jOCZRdWItMJKacbZolEJF', '6LJUlREHwzx1Z2BcqOdJSW', '6WUPSfoTnqDimPiVI89lQ7']","['toothache', 'Death Grip', 'The fish song', 'Trailblaze ☆']",5oKwX8pOYWofuTNMKx4okR,https://open.spotify.com/playlist/5oKwX8pOYWofuTNMKx4okR,https://mosaic.scdn.co/640/ab67616d00001e02bd82a743c5b3a94bdf9fe360ab67616d00001e02be2c938ff4e4748d5855e802ab67616d00001e02d8ebb173520c076c4e7c5964ab67616d00001e02dbe494d0433fb6ddd7387b81,"[('6vca0aMELa1kc6mIs6w39c', 'toothache'), ('5jOCZRdWItMJKacbZolEJF', 'Death Grip'), ('6LJUlREHwzx1Z2BcqOdJSW', 'The fish song'), ('6WUPSfoTnqDimPiVI89lQ7', 'Trailblaze ☆')]"
848 innocence,"['6MzofobZt2dm0Kf1hTThFz', '5HwHdYpk3QiOUhsfWKYkFq', '1GsSM1Fju5J1Fsu51jEsTg', '5c9tBmJKbTdn1vhzXHeAwW', '0f1YjNHoDs4GVTGjFgt3Hc', '6oXd6W1WrxE2P499dUFNFT']","['Diet Pepsi', 'Passionfruit', 'tears in the club (feat. the weeknd)', 'Sympathy is a knife', 'Undercurrent', 'Hillside Boys']",5sMFgzDK1HTjG2bxIyi9jI,https://open.spotify.com/playlist/5sMFgzDK1HTjG2bxIyi9jI,https://mosaic.scdn.co/640/ab67616d00001e024e5a5862355a5e953549292bab67616d00001e0288e3822cccfb8f2832c70c2eab67616d00001e02a1a30cf13d406a0d5d33ae53ab67616d00001e02e6eb6a66ed4426f5cb6c4d9a,"[('6MzofobZt2dm0Kf1hTThFz', 'Diet Pepsi'), ('5HwHdYpk3QiOUhsfWKYkFq', 'Passionfruit'), ('1GsSM1Fju5J1Fsu51jEsTg', 'tears in the club (feat. the weeknd)'), ('5c9tBmJKbTdn1vhzXHeAwW', 'Sympathy is a knife'), ('0f1YjNHoDs4GVTGjFgt3Hc', 'Undercurrent'), ('6oXd6W1WrxE2P499dUFNFT', 'Hillside Boys')]"
847 sick joke,"['4ztA5OPlOzUvbE0Cgh2gV9', '505HhtdgN8lynQcJQCcIiD', '2poBY9AIHsO7O6MjY4350M', '0VGa2uUcAc7YkNiL1x9BOL', '317sqVXjumPF2ucELiBVKE']","['something will give', 'Ever Seen', 'Birdwatcher', 'Late Start', 'take it off']",3oldJCV4dggIdDCB8aFlFc,https://open.spotify.com/playlist/3oldJCV4dggIdDCB8aFlFc,https://mosaic.scdn.co/640/ab67616d00001e0254c876aa96f2dd815d5f8688ab67616d00001e0260c3c9333fdd5a4aa550e9a7ab67616d00001e027d9a2e7835a178df7b0153aaab67616d00001e02b90ea3d19ffff089d262cba5,"[('4ztA5OPlOzUvbE0Cgh2gV9', 'something will give'), ('505HhtdgN8lynQcJQCcIiD', 'Ever Seen'), ('2poBY9AIHsO7O6MjY4350M', 'Birdwatcher'), ('0VGa2uUcAc7YkNiL1x9BOL', 'Late Start'), ('317sqVXjumPF2ucELiBVKE', 'take it off')]"
846 save me,"['3vlAqZvq7IYKOoOKwHGAxd', '0LXxEKF7GjUbGYCeBOPxba', '5z7XGCJlzhFP0UR1agce9b', '5pUl86WPdIEncWK57kGcOY', '1NoSFJ2Y8t1ioRqmePeg07', '1nHBcM8ybbbhVvqjh8V6zR', '1LtctBA2TfyDkTV2bke6EZ', '0w11i5RNebNCttwoM3qs0X', '22MqBhjCzF6Lwgh6v35COU', '6avei3GTDwm3u8jobPwGh5']","['double dog', 'Weirdwordsworms', 'Infinite Love without Fulfilment', 'Fear, Sex', 'Aggy', 'Blank Page', 'Hold onto Me', 'A Figure 8', 'Do U Wanna', 'Von dutch remix with skream and benga']",3g39V9zZwlt9ZYn7JKTOCj,https://open.spotify.com/playlist/3g39V9zZwlt9ZYn7JKTOCj,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ccec48b54212c815052e1294,"[('3vlAqZvq7IYKOoOKwHGAxd', 'double dog'), ('0LXxEKF7GjUbGYCeBOPxba', 'Weirdwordsworms'), ('5z7XGCJlzhFP0UR1agce9b', 'Infinite Love without Fulfilment'), ('5pUl86WPdIEncWK57kGcOY', 'Fear, Sex'), ('1NoSFJ2Y8t1ioRqmePeg07', 'Aggy'), ('1nHBcM8ybbbhVvqjh8V6zR', 'Blank Page'), ('1LtctBA2TfyDkTV2bke6EZ', 'Hold onto Me'), ('0w11i5RNebNCttwoM3qs0X', 'A Figure 8'), ('22MqBhjCzF6Lwgh6v35COU', 'Do U Wanna'), ('6avei3GTDwm3u8jobPwGh5', 'Von dutch remix with skream and benga')]"
845 what did you expect,"['0rxQTgJzd0HCUk4QUxSkjK', '74OfKhcmck9KUHBPmCaOtY', '2xkib9MAHlGtxJRhIesSAX', '0X1VFWzml1YdSOOkxzOK0G', '6J4JyWGym75LACyBWqipKv', '6znJNfmf2HiCXyfaLrcJiH', '0m1x0v0ieuwWBi5Vi5pucs', '0spXmYRCgO10zVvQwkj4hZ', '5duZe3kHUqNENd97WYqmYL', '293kCqo7pxBoeWQOJldC4J']","['Even If It Hurts (feat. Blood Orange)', 'Drifting', 'Doc Whiler', 'Poor Fake', 'Good At Breaking Hearts', 'Want Your Feeling', 'Ache', 'Little Bit', 'Another Lover', 'Check Your Face']",0KgwFInw8xWYmtDQWayf2p,https://open.spotify.com/playlist/0KgwFInw8xWYmtDQWayf2p,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84823543bc9898be21f90d7be4,"[('0rxQTgJzd0HCUk4QUxSkjK', 'Even If It Hurts (feat. Blood Orange)'), ('74OfKhcmck9KUHBPmCaOtY', 'Drifting'), ('2xkib9MAHlGtxJRhIesSAX', 'Doc Whiler'), ('0X1VFWzml1YdSOOkxzOK0G', 'Poor Fake'), ('6J4JyWGym75LACyBWqipKv', 'Good At Breaking Hearts'), ('6znJNfmf2HiCXyfaLrcJiH', 'Want Your Feeling'), ('0m1x0v0ieuwWBi5Vi5pucs', 'Ache'), ('0spXmYRCgO10zVvQwkj4hZ', 'Little Bit'), ('5duZe3kHUqNENd97WYqmYL', 'Another Lover'), ('293kCqo7pxBoeWQOJldC4J', 'Check Your Face')]"
844 praying,"['4wO2JlPZw72Xlu6dGUW4Ce', '3OsEOumLXnNDp2YOK9Brxq', '5RXjt2s4HBJw3TcaAzwSrD', '2oOCG1vJ8Gj6SVql3J2fsJ', '3WrTeKqDCB01NCvLwmV47P', '4wjE62bHELzlZvE52cxMfL', '2qxqP4Es9lS0ieNhyfcxFO', '2ZeM5aRbo7eMZ6SSnryf8R', '2l8bfbzQxqWZKqyZCrM9Y7', '6Xl18Edf3v9Z2FLw1H69cr']","['Pushing It Down and Praying', 'My Girl', 'End Of The World', 'Bunny', 'Marmalade', 'Model, Actress, Whatever', 'Just as a Child', 'You Are Here', ""Ella's From Somewhere Else"", 'Voyager']",7B0oQrwRebLKpMzNl29aFP,https://open.spotify.com/playlist/7B0oQrwRebLKpMzNl29aFP,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842da87099fb32c08cca697e88,"[('4wO2JlPZw72Xlu6dGUW4Ce', 'Pushing It Down and Praying'), ('3OsEOumLXnNDp2YOK9Brxq', 'My Girl'), ('5RXjt2s4HBJw3TcaAzwSrD', 'End Of The World'), ('2oOCG1vJ8Gj6SVql3J2fsJ', 'Bunny'), ('3WrTeKqDCB01NCvLwmV47P', 'Marmalade'), ('4wjE62bHELzlZvE52cxMfL', 'Model, Actress, Whatever'), ('2qxqP4Es9lS0ieNhyfcxFO', 'Just as a Child'), ('2ZeM5aRbo7eMZ6SSnryf8R', 'You Are Here'), ('2l8bfbzQxqWZKqyZCrM9Y7', ""Ella's From Somewhere Else""), ('6Xl18Edf3v9Z2FLw1H69cr', 'Voyager')]"
842 begin again,"['5zjQ3gF7xeNhMh0Is6wX0b', '553klLGtJCONJztTXktVF6', '37Iurk7tldnNLPYpSq00Ol', '6HdMeOwJXD3oY1Thn1bsCY', '2YFSU2cMrGevlkNG5J7rOd', '5nVoXq0Q239GpJIRG8n4rZ', '5ayasjDFHlhyM423I7ayW1', '07eGxuz8bL6QMsRqEe1Adu', '7IAx9OvToHkT8C4ZlX9hwe', '42dbPf0M81U47xbawYssYR']","['Edge Of The Ocean', 'Reality Mind', 'Hey Big Eyes', 'Lazuli', 'Lovebomb', 'All Is Full Of Love', 'Know Who You Are At Every Age - Remastered 2006', 'Svefn-g-englar', 'Will Anybody Ever Love Me?', 'The Dumbing Down Of Love']",0YhNq6NX9HpmGan7uIxQwc,https://open.spotify.com/playlist/0YhNq6NX9HpmGan7uIxQwc,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84555e82227d1f942b21744958,"[('5zjQ3gF7xeNhMh0Is6wX0b', 'Edge Of The Ocean'), ('553klLGtJCONJztTXktVF6', 'Reality Mind'), ('37Iurk7tldnNLPYpSq00Ol', 'Hey Big Eyes'), ('6HdMeOwJXD3oY1Thn1bsCY', 'Lazuli'), ('2YFSU2cMrGevlkNG5J7rOd', 'Lovebomb'), ('5nVoXq0Q239GpJIRG8n4rZ', 'All Is Full Of Love'), ('5ayasjDFHlhyM423I7ayW1', 'Know Who You Are At Every Age - Remastered 2006'), ('07eGxuz8bL6QMsRqEe1Adu', 'Svefn-g-englar'), ('7IAx9OvToHkT8C4ZlX9hwe', 'Will Anybody Ever Love Me?'), ('42dbPf0M81U47xbawYssYR', 'The Dumbing Down Of Love')]"
841 stay true,"['45zrZUWz5XrAKk50u2N6Kl', '12UQIJePnGeLmpVReYpG2w', '6ELP6nqqRDftftpjgioiWW', '13FwwxmOXagAaPdkVxGz7J', '24GfpnI0qKieLnsXZS1wyE', '4AHsiWpYmUjeMbBfGryBs9', '2uQotduUA32t7EwTEMvMyb', '6CjPHVs1j8GIka2LzOTfGM', '3dvXRk7TZ929m21p49RR5P', '3xnM0WCRJKk4Iz49rkG5OC']","['Collapse', 'Sunny day', 'Getting Older', 'Gemini and Leo', 'Mutations', 'Mary Jane', 'Le Temple Volant', 'Teeth', 'Mariella', 'I Hope to Be Around']",6OrcGRAMqQ3A6o2zCmqTj5,https://open.spotify.com/playlist/6OrcGRAMqQ3A6o2zCmqTj5,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84088828db4c39f2754370b8f4,"[('45zrZUWz5XrAKk50u2N6Kl', 'Collapse'), ('12UQIJePnGeLmpVReYpG2w', 'Sunny day'), ('6ELP6nqqRDftftpjgioiWW', 'Getting Older'), ('13FwwxmOXagAaPdkVxGz7J', 'Gemini and Leo'), ('24GfpnI0qKieLnsXZS1wyE', 'Mutations'), ('4AHsiWpYmUjeMbBfGryBs9', 'Mary Jane'), ('2uQotduUA32t7EwTEMvMyb', 'Le Temple Volant'), ('6CjPHVs1j8GIka2LzOTfGM', 'Teeth'), ('3dvXRk7TZ929m21p49RR5P', 'Mariella'), ('3xnM0WCRJKk4Iz49rkG5OC', 'I Hope to Be Around')]"
840 pretty woman,"['35tWhD29yvWwB0IDRr6zsL', '5sMEEjviCkH6Rp5X2ZvIIc', '20r94xA0bsYNLtYSiOE6r3', '3utisM1p90YUtH7yjXyrrY', '4xM7eyETzrQ7ag6CTy05QT', '3CrHOaMAFnBStKoVr2e7qj', '5y6vRQJrzPveBmvysTE4UQ', '52GJf3163rfoCtjOvCe85K', '4qAQTQH5lF4kINZ9JkURXp', '03yR4z1jANazJTWMjX3rtw']","['Yeah Right', 'Everything is romantic', ""Frank's Track"", 'Raydar', 'CHANEL PIT', 'Twice', 'Satellite Business 2.0', 'Treat Each Other Right', 'SIN MIEDO', 'Little Bit']",6T6cMAfk5OTqGcs3L1gUUU,https://open.spotify.com/playlist/6T6cMAfk5OTqGcs3L1gUUU,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e5c833b225b0d53779fd8301,"[('35tWhD29yvWwB0IDRr6zsL', 'Yeah Right'), ('5sMEEjviCkH6Rp5X2ZvIIc', 'Everything is romantic'), ('20r94xA0bsYNLtYSiOE6r3', ""Frank's Track""), ('3utisM1p90YUtH7yjXyrrY', 'Raydar'), ('4xM7eyETzrQ7ag6CTy05QT', 'CHANEL PIT'), ('3CrHOaMAFnBStKoVr2e7qj', 'Twice'), ('5y6vRQJrzPveBmvysTE4UQ', 'Satellite Business 2.0'), ('52GJf3163rfoCtjOvCe85K', 'Treat Each Other Right'), ('4qAQTQH5lF4kINZ9JkURXp', 'SIN MIEDO'), ('03yR4z1jANazJTWMjX3rtw', 'Little Bit')]"
839 just friends,"['4LKYOetuIF5c9XjeLBL9av', '19RybK6XDbAVpcdxSbZL1o', '0i62I5HJlzIVu2FALBmBPx', '2KiQ23eB0oqyRQ7DoU744k', '0widrZ6KVNuIPhbM1rWPDR', '5TOBZ7LCRmB7pddKAaCibB', '6m871Gxm8jQGShOYhKMkKR', '3WY21ibZasLGJE1U6Apmzj', '31MNHKE86sEXzIglbGQ6mu', '7mpaeaER7YQPWvJjgd2OLV']","['Naked In Manhattan', 'Apple', 'I Blame Myself', 'cherry cola', 'Pop Star', 'tooth', 'like that', 'I LUV IT (feat. Playboi Carti)', 'Got Me Started', 'Falling']",2taGVw80wRJx7DDCTnoYYN,https://open.spotify.com/playlist/2taGVw80wRJx7DDCTnoYYN,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842510d7bf89aef962a0240d33,"[('4LKYOetuIF5c9XjeLBL9av', 'Naked In Manhattan'), ('19RybK6XDbAVpcdxSbZL1o', 'Apple'), ('0i62I5HJlzIVu2FALBmBPx', 'I Blame Myself'), ('2KiQ23eB0oqyRQ7DoU744k', 'cherry cola'), ('0widrZ6KVNuIPhbM1rWPDR', 'Pop Star'), ('5TOBZ7LCRmB7pddKAaCibB', 'tooth'), ('6m871Gxm8jQGShOYhKMkKR', 'like that'), ('3WY21ibZasLGJE1U6Apmzj', 'I LUV IT (feat. Playboi Carti)'), ('31MNHKE86sEXzIglbGQ6mu', 'Got Me Started'), ('7mpaeaER7YQPWvJjgd2OLV', 'Falling')]"
